Movie,Percent Positive Tweets,Percent Negative Tweets,Rotten Tomatoes User Ratings,Percentage of Users who want to see (%),Average Rating on a scale of 10,Director,Actor,Actress,Production house rating,,,,,,,,,,,,,,,
Mary Queen of Scots,0.73913,0.26087,495,97,7.4,23884,69,NA,6.81,,,,,,,,,,,,,,,
Dumplin’,0.877384,0.122616,25,88,NA,152,2274,39138,4.3,,,,,,,,,,,,,,,
Vox Lux,0.802632,0.197368,237,95,7.4,225,NA,44788,6.8,,,,,,,,,,,,,,,
Ben Is Back,0.851485,0.148515,145,92,6.3,5,459,517380,6,,,,,,,,,,,,,,,
Spider-Man: Into the Spider-Verse,0.635719,0.364281,711,94,NA,4893,NA,1032458,6.57,,,,,,,,,,,,,,,
Mortal Engines,0.738739,0.261261,452,94,NA,178,2752,4324,8.5,,,,,,,,,,,,,,,
The Mule,0.650685,0.349315,212,98,NA,73089,73092,NA,7.03,,,,,,,,,,,,,,,
Roma,0.836232,0.163768,654,98,9.1,120251,NA,38636,8.6,,,,,,,,,,,,,,,
Backtrace,0.5,0.5,NA,NA,NA,3136,2801180,NA,6.41,,,,,,,,,,,,,,,
Capernaum,0.756757,0.243243,108,89,7.6,740833,NA,NA,6.65,,,,,,,,,,,,,,,
Mary Poppins Returns,0.717276,0.282724,1169,97,NA,331,NA,9279,5.9,,,,,,,,,,,,,,,
Aquaman,0.645855,0.354145,10549,97,NA,211653,16450,73713,7.79,,,,,,,,,,,,,,,
Bumblebee,0.92562,0.07438,851,94,NA,686,2021,1032458,6.2,,,,,,,,,,,,,,,
Cold War,0.58011,0.41989,353,96,8.2,1,14,137,7.96,,,,,,,,,,,,,,,
Holmes & Watson,0.630769,0.369231,258,93,NA,4384,10008,NA,6.57,,,,,,,,,,,,,,,
Welcome to Marwen,0.96875,0.03125,338,97,NA,NA,5606341,1429836,7.33,,,,,,,,,,,,,,,
Zero,0.915501,0.084499,14,86,NA,151492,36877567,1847777,6.9,,,,,,,,,,,,,,,
Second Act,0.871744,0.128256,81,85,NA,NA,586173,7232662,6.06,,,,,,,,,,,,,,,
Vice,0.597765,0.402235,196,93,NA,1014175,146,2465,7.21,,,,,,,,,,,,,,,
